Home_team,Season,attendance,Week
San Francisco 49ers,1993,43835,11
Seattle Seahawks,1993,54622,11
New York Giants,1993,76606,11
Washington Redskins,1993,76606,11
Dallas Cowboys,1993,64224,11
New York Jets,1993,47351,11
New Orleans Saints,1993,66500,12
New England Patriots,1993,59982,12
Minnesota Vikings,1993,40848,12
Miami Dolphins,1993,59982,12
Los Angeles Rams,1993,45546,12
Los Angeles Raiders,1993,60615,12
Kansas City Chiefs,1993,76872,12
Indianapolis Colts,1993,79101,12
Houston Oilers,1993,71668,12
Green Bay Packers,1993,55119,12
Detroit Lions,1993,55119,12
Denver Broncos,1993,74840,12
Tampa Bay Buccaneers,1993,40848,12
Cleveland Browns,1993,71668,12
Cincinnati Bengals,1993,64264,12
Chicago Bears,1993,76872,12
Buffalo Bills,1993,79101,12
Atlanta Falcons,1993,67337,12
Philadelphia Eagles,1993,62928,12
Phoenix Cardinals,1993,Bye,12
Pittsburgh Steelers,1993,74840,12
San Diego Chargers,1993,60615,12
San Francisco 49ers,1993,66500,12
Seattle Seahawks,1993,Bye,12
New York Giants,1993,62928,12
Washington Redskins,1993,45546,12
Dallas Cowboys,1993,67337,12
New York Jets,1993,64264,12
New Orleans Saints,1993,53030,13
New England Patriots,1993,42810,13
Minnesota Vikings,1993,53030,13
Miami Dolphins,1993,60198,13
Los Angeles Rams,1993,62143,13
Los Angeles Raiders,1993,43272,13
Kansas City Chiefs,1993,74452,13
Indianapolis Colts,1993,54110,13
Houston Oilers,1993,61238,13
Green Bay Packers,1993,56995,13
Detroit Lions,1993,76699,13
Denver Broncos,1993,57812,13
Tampa Bay Buccaneers,1993,56995,13
Cleveland Browns,1993,54510,13
Cincinnati Bengals,1993,43272,13
Chicago Bears,1993,76699,13
Buffalo Bills,1993,74452,13
Atlanta Falcons,1993,54510,13
Philadelphia Eagles,1993,46683,13
Phoenix Cardinals,1993,59979,13
Pittsburgh Steelers,1993,61238,13
San Diego Chargers,1993,54110,13
San Francisco 49ers,1993,62143,13
Seattle Seahawks,1993,57812,13
New York Giants,1993,59979,13
Washington Redskins,1993,46683,13
Dallas Cowboys,1993,60198,13
New York Jets,1993,42810,13
New Orleans Saints,1993,60388,14
New England Patriots,1993,51358,14
Minnesota Vikings,1993,63216,14
Miami Dolphins,1993,72161,14
Los Angeles Rams,1993,33964,14
Los Angeles Raiders,1993,79478,14
Kansas City Chiefs,1993,58551,14
Indianapolis Colts,1993,45799,14
Houston Oilers,1993,63101,14
Green Bay Packers,1993,62236,14
Detroit Lions,1993,63216,14
Denver Broncos,1993,60233,14
Tampa Bay Buccaneers,1993,49035,14
Cleveland Browns,1993,60388,14
Cincinnati Bengals,1993,60039,14
Chicago Bears,1993,62236,14
Buffalo Bills,1993,79478,14
Atlanta Falcons,1993,63101,14
Philadelphia Eagles,1993,64521,14
Phoenix Cardinals,1993,33964,14
Pittsburgh Steelers,1993,51358,14
San Diego Chargers,1993,60233,14
San Francisco 49ers,1993,60039,14
Seattle Seahawks,1993,58551,14
New York Giants,1993,72161,14
Washington Redskins,1993,49035,14
Dallas Cowboys,1993,64521,14
New York Jets,1993,45799,14
New Orleans Saints,1993,69033,15
New England Patriots,1993,29794,15
Minnesota Vikings,1993,63321,15
Miami Dolphins,1993,70232,15
Los Angeles Rams,1993,69033,15
Los Angeles Raiders,1993,38161,15
Kansas City Chiefs,1993,75822,15
Indianapolis Colts,1993,70411,15
Houston Oilers,1993,58720,15
Green Bay Packers,1993,57930,15
Detroit Lions,1993,39393,15
Denver Broncos,1993,75822,15
Tampa Bay Buccaneers,1993,56667,15
Cleveland Browns,1993,58720,15
Cincinnati Bengals,1993,29794,15
Chicago Bears,1993,56667,15
Buffalo Bills,1993,60769,15
Atlanta Falcons,1993,64688,15
Philadelphia Eagles,1993,60769,15
Phoenix Cardinals,1993,39393,15
Pittsburgh Steelers,1993,70232,15
San Diego Chargers,1993,57930,15
San Francisco 49ers,1993,64688,15
Seattle Seahawks,1993,38161,15
New York Giants,1993,70411,15
Washington Redskins,1993,47970,15
Dallas Cowboys,1993,63321,15
New York Jets,1993,47970,15
New Orleans Saints,1993,69036,16
New England Patriots,1993,48618,16
Minnesota Vikings,1993,54773,16
Miami Dolphins,1993,71597,16
Los Angeles Rams,1993,36612,16
Los Angeles Raiders,1993,40532,16
Kansas City Chiefs,1993,74778,16
Indianapolis Colts,1993,44952,16
Houston Oilers,1993,57592,16
Green Bay Packers,1993,54773,16
Detroit Lions,1993,77052,16
Denver Broncos,1993,53056,16
Tampa Bay Buccaneers,1993,40532,16
Cleveland Browns,1993,48618,16
Cincinnati Bengals,1993,36612,16
Chicago Bears,1993,53056,16
Buffalo Bills,1993,71597,16
Atlanta Falcons,1993,50192,16
Philadelphia Eagles,1993,44952,16
Phoenix Cardinals,1993,45737,16
Pittsburgh Steelers,1993,57592,16
San Diego Chargers,1993,74778,16
San Francisco 49ers,1993,77052,16
Seattle Seahawks,1993,45737,16
New York Giants,1993,69036,16
Washington Redskins,1993,50192,16
Dallas Cowboys,1993,73233,16
New York Jets,1993,73233,16
New Orleans Saints,1993,50085,17
New England Patriots,1993,26571,17
Minnesota Vikings,1993,59236,17
Miami Dolphins,1993,60311,17
Los Angeles Rams,1993,34155,17
Los Angeles Raiders,1993,54482,17
Kansas City Chiefs,1993,59236,17
Indianapolis Colts,1993,26571,17
Houston Oilers,1993,61744,17
Green Bay Packers,1993,54482,17
Detroit Lions,1993,43443,17
Denver Broncos,1993,73434,17
Tampa Bay Buccaneers,1993,73434,17
Cleveland Browns,1993,34155,17
Cincinnati Bengals,1993,27014,17
Chicago Bears,1993,43443,17
Buffalo Bills,1993,70817,17
Atlanta Falcons,1993,27014,17
Philadelphia Eagles,1993,50085,17
Phoenix Cardinals,1993,53414,17
Pittsburgh Steelers,1993,51814,17
San Diego Chargers,1993,60311,17
San Francisco 49ers,1993,61744,17
Seattle Seahawks,1993,51814,17
New York Giants,1993,53414,17
Washington Redskins,1993,64497,17
Dallas Cowboys,1993,64497,17
New York Jets,1993,70817,17
New Orleans Saints,1993,58036.0,18
New England Patriots,1993,53883.0,18
Minnesota Vikings,1993,42836.0,18
Miami Dolphins,1993,53883.0,18
Los Angeles Rams,1993,39147.0,18
Los Angeles Raiders,1993,66904.0,18
Kansas City Chiefs,1993,72136.0,18
Indianapolis Colts,1993,43028.0,18
Houston Oilers,1993,61040.0,18
Green Bay Packers,1993,77510.0,18
Detroit Lions,1993,77510.0,18
Denver Broncos,1993,66904.0,18
Tampa Bay Buccaneers,1993,35587.0,18
Cleveland Browns,1993,49208.0,18
Cincinnati Bengals,1993,58036.0,18
Chicago Bears,1993,39147.0,18
Buffalo Bills,1993,43028.0,18
Atlanta Falcons,1993,44360.0,18
Philadelphia Eagles,1993,61653.0,18
Phoenix Cardinals,1993,44360.0,18
Pittsburgh Steelers,1993,49208.0,18
San Diego Chargers,1993,35587.0,18
San Francisco 49ers,1993,61653.0,18
Seattle Seahawks,1993,72136.0,18
New York Giants,1993,77356.0,18
Washington Redskins,1993,42836.0,18
Dallas Cowboys,1993,77356.0,18
New York Jets,1993,61040.0,18
New Orleans Saints,1993,64287,2
New England Patriots,1993,54151,2
Minnesota Vikings,1993,56285,2
Miami Dolphins,1993,70314,2
Los Angeles Rams,1993,50588,2
Los Angeles Raiders,1993,58836,2
Kansas City Chiefs,1993,59780,2
Indianapolis Colts,1993,50299,2
Houston Oilers,1993,59780,2
Green Bay Packers,1993,59061,2
Detroit Lions,1993,54151,2
Denver Broncos,1993,75074,2
Tampa Bay Buccaneers,1993,75891,2
Cleveland Browns,1993,78218,2
Cincinnati Bengals,1993,50299,2
Chicago Bears,1993,56285,2
Buffalo Bills,1993,63226,2
Atlanta Falcons,1993,64287,2
Philadelphia Eagles,1993,59061,2
Phoenix Cardinals,1993,53525,2
Pittsburgh Steelers,1993,50588,2
San Diego Chargers,1993,75074,2
San Francisco 49ers,1993,78218,2
Seattle Seahawks,1993,58836,2
New York Giants,1993,75891,2
Washington Redskins,1993,53525,2
Dallas Cowboys,1993,63226,2
New York Jets,1993,70314,2
New Orleans Saints,1993,69039,3
New England Patriots,1993,50392,3
Minnesota Vikings,1993,Bye,3
Miami Dolphins,1993,Bye,3
Los Angeles Rams,1993,76213,3
Los Angeles Raiders,1993,48617,3
Kansas City Chiefs,1993,78453,3
Indianapolis Colts,1993,Bye,3
